petition_id,people,government,child,would,school,public,service,referendum,right,change,country,british,health,allow,family,student,national,animal,support,parent
4b539053-ab09-49a6-85c6-95737f3baf5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802fb3b5-d614-406c-bbff-5c8afa023d07,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
c7228bf5-e899-4f68-80f1-f7275f349b4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4bee4ba9-3fa6-4aaa-96ba-51d6c957030e,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dddadf66-9714-4315-970e-7e125d3ab76a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20fc1e34-a07e-442f-b251-fec8310c4c51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11532bf7-9382-4681-bec0-0fafe52855d1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
40bcc504-18df-48c9-a2ba-5bce66b3a542,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
d36acbd7-c03e-40c8-94af-a40fcb150807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ae056cfb-cb70-4177-bfd7-e409a3da064d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04ed1c69-e3e6-4666-9334-6e07c5ab6694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
dccbbb82-d33c-4406-873a-91431bba5e4a,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ec6680a0-3be8-45e1-b092-8aadda42ff80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd9c7d4f-54fc-4315-af45-10b4c69df815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46b1fb9f-941a-48ab-8889-816587143f00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
fd3dc5df-6085-407b-9aee-887ebc090aba,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
5e74d1fb-26e4-43e8-a27b-da8d013e6229,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
36f83ae3-4c6a-4024-8f2d-710c0c645c4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5806ea00-801d-4d52-a2ec-701f69d8b1f1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4fd44510-4e8f-436d-8dab-14c92abd4426,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241f264a-bd0c-469f-bb95-d880bfd2972a,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
26c45f07-b692-45ad-9c23-64ea0fb7ffc0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bdaecbe-3e38-48ab-9ff8-0f6b13b45939,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0
4a8e1294-7429-4023-992a-9729efce49fc,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
db89d963-e08c-404b-9595-1f8e0d10dfcd,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
45efd005-fe24-4ed1-9934-8000d3e1a1b4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9c0fc48-26dd-43eb-a056-54247a2f8973,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
064d97a0-f460-4535-bb46-a1f67ec60ce5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
98b68c3b-7b0b-4322-81f9-1f52700d85ac,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63da79f1-f95c-49f5-a718-81ad78a12721,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28a1851a-1202-4283-ada3-1d2d27cec151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160ca2b5-da4c-4e80-adb5-d96b3203ba7f,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52cca291-41bc-46f3-9609-7dd0655c2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bf9938f1-305d-4ebb-9b88-62c7ed945190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e40225d9-c793-434a-830c-d71184cae086,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
b43ab6a6-64ae-4678-a35e-2a1cda1852fa,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
e61561d7-38b0-4d31-9ceb-9a30e90a40ff,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b34a1876-b632-4899-b147-f0dc348ffa31,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0
105a2c97-7d59-47eb-a189-c07f97280cfc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885a249c-b1cf-4ad3-95f4-fa1b6a6e5f81,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
2ada803f-d2c4-495f-93c8-9e4fbff4eae8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85ec9c99-6e07-4c88-b6eb-1a418b5b980c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964778f5-f766-4cc4-a942-0dde36484810,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6aa2301e-de75-4ffc-8167-ad4a84a359c2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
